M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
5.6,0.748188027,0,0.359835482,-4.44E-01,1.626443025,2.11E-01,0.330413773,2.043558747,5
5.6,0.748188027,0,0.667452953,-1.76E-01,1.695481676,2.29E-01,0.431363764,2.064907027,5
5.6,0.748188027,1,0.785329835,-1.05E-01,2.055836851,3.13E-01,1.119255889,2.469689499,6
5.6,0.748188027,1,1.029383778,1.26E-02,2.266419866,3.55E-01,1.252610341,2.512417549,6
5.6,0.748188027,0,0.883093359,-5.40E-02,2.139028547,3.30E-01,1.201123897,2.495988118,6
5.6,0.748188027,0,0.992553518,-3.25E-03,2.27392678,3.57E-01,1.341236623,2.540279409,6
5.6,0.748188027,0,0.938019097,-2.78E-02,2.175859574,3.38E-01,1.204391332,2.457215569,6
5.6,0.748188027,0,0.949877704,-2.23E-02,2.523382235,4.02E-01,1.488409689,2.532537815,6
5.6,0.748188027,1,0.037426498,-1.43E+00,1.419294722,1.52E-01,-0.124938737,1.816572696,4
5.6,0.748188027,1,0.08278537,-1.08E+00,1.5470359,1.90E-01,0,1.871806364,4
5.6,0.748188027,1,0.190331698,-7.20E-01,1.259115844,1.00E-01,-0.055517328,1.965342836,5
5.6,0.748188027,1,0.230448921,-6.37E-01,1.473194909,1.68E-01,0.103803721,2.024444617,5
5.3,0.72427587,0,0.672097858,-1.73E-01,1.827692289,2.62E-01,0.652246341,2.063708559,5
5.3,0.72427587,0,0.974050903,-1.14E-02,2.008557592,3.03E-01,0.761927838,2.049721822,5
5.3,0.72427587,1,0.190331698,-7.20E-01,1.089905111,3.74E-02,-0.552841969,1.691611874,4
5.3,0.72427587,1,0.025305865,-1.60E+00,1.11991541,4.92E-02,-0.443697499,1.737590166,4
5.4,0.73239376,1,1.10754913,4.44E-02,2.234567898,3.49E-01,1.291146762,2.504375701,5
5.4,0.73239376,1,1.158663981,6.40E-02,2.292100938,3.60E-01,1.303196057,2.502030885,5
5.4,0.73239376,0,0.557507202,-2.54E-01,1.511080846,1.79E-01,0.36361198,2.13219563,4
